"ASV","s.Irradiated with 16 O","s.Sham-irradiated","index","stat","p.value","Domain","Phylum","Class","Order","Family","Genus","Species"
"f64f55b1af9b863086103dbf76e94e9f",1,0,1,0.622400190697049,0.01,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Incertae_Sedis",NA
"d7c9a553b3b39325083713a863a04d5a",1,0,1,0.581811143870448,0.04,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae",NA,NA
"75bd82a728427b9fe0161be3977a9dee",1,0,1,0.516397779494322,0.03,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Harryflintia","s__uncultured_bacterium"
"3607599c1aab4789914bb85aa5387ec7",1,0,1,0.534102885380578,0.025,"d__Bacteria","p__Firmicutes","c__Bacilli","o__RF39","f__RF39","g__RF39",NA
"003a296ba4c55f34d62c224bda66f5a9",1,0,1,0.900887072967254,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__uncultured","s__Clostridiales_bacterium"
"e3811dd729c742150d8c1c5f6e40c5a9",1,0,1,0.615195069891458,0.01,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae",NA,NA
"c8738b09261f9ea1f3414e16667fac02",1,0,1,0.707106781186548,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae",NA,NA
"226ab97195d19858d059fffaef17f5d7",1,0,1,0.703470330828634,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae",NA,NA
"36a87a86aadafd7424e370b423382316",1,0,1,0.530091842719996,0.03,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Acetatifactor","s__Acetatifactor_muris"
"7b77d7b0590befdb68266063cee250a0",1,0,1,0.68357087371386,0.02,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae",NA,NA
"9e31424bebb25a100572229efc973274",1,0,1,0.563764915950993,0.025,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Acetatifactor","s__uncultured_organism"
"bbc2bc36c756cc8b1509b77eba2ac381",1,0,1,0.5,0.03,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Acetatifactor","s__uncultured_organism"
