"ASV","s.Irradiated with 16 O","s.Sham-irradiated","index","stat","p.value","Kingdom","Phylum","Class","Order","Family","Genus","Species","Confidence"
"af5b96431f030adbd446db31ed2256c0",0,1,2,0.681542229337361,0.005,"d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae",NA,NA,"0.9999999"
"0fe2cd2c156438fb34ab831d7c9712af",0,1,2,0.651527471259484,0.02,"d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium",NA,"0.9999827"
"ebfae23b19ec6892ffa69d5b55bdac56",0,1,2,0.447213595499958,0.015,"d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium",NA,"0.9683904"
"d596ad751bacbc104b56e69760278c38",0,1,2,0.54618408263708,0.01,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus",NA,"0.9846157"
"4926fe92d5dca75dd49ef21c4103afcf",0,1,2,0.447213595499958,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Incertae_Sedis","s__uncultured_Clostridiales","0.9999003"
"2b0bc9000470b3e55564dcd496ed677c",0,1,2,0.382664386317704,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Incertae_Sedis","s__uncultured_Clostridiales","0.9998991"
"3f574a1c6ddd83e13a9f0c0d99628511",1,0,1,0.504318751412823,0.045,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Caproiciproducens",NA,"0.8372363"
"8670fe90bab6cfb5f737407248edc049",1,0,1,0.501375844405609,0.05,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Caproiciproducens",NA,"0.8356454"
"6cdeda87b2c3a317861fb0f4e02bcdac",0,1,2,0.5,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Incertae_Sedis",NA,"0.9930824"
"3469a3c278ad1138e48880f761d970c1",0,1,2,0.387298334620742,0.025,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Incertae_Sedis",NA,"0.9934157"
"cd4ae7c5effd939bbdb2c6e817a246e1",0,1,2,0.5,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Incertae_Sedis",NA,"0.9864111"
"021b898345f1a2b66c1e0da5f63a93c6",0,1,2,0.547722557505166,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Incertae_Sedis",NA,"0.9850160"
"f64f55b1af9b863086103dbf76e94e9f",1,0,1,0.622400190697049,0.01,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Incertae_Sedis",NA,"0.9972802"
"9644efb90c481dafa9010fbc11984e5a",0,1,2,0.421482567036688,0.045,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Anaerotruncus","s__[Clostridium]_leptum","0.8850338"
"afaf75f62d87dcd623c57ce463bd075c",0,1,2,0.677254647054042,0.02,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Anaerotruncus","s__[Clostridium]_leptum","0.8811222"
"b99156ca841e99c7dc23bb92689252ea",0,1,2,0.615010138589793,0.035,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Harryflintia","s__uncultured_bacterium","0.9565618"
"b4141e6045305d662189c3228a01bc4e",1,0,1,0.504604761244673,0.04,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales",NA,NA,NA,"0.9999315"
"01e091f43040afd97fc6b5ed9e0b55f7",0,1,2,0.482891479372786,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales",NA,NA,NA,"0.9999850"
"7490162ee9af000ad1013db4318d2cad",0,1,2,0.841528698418746,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__uncultured",NA,"0.9995064"
"988fc56ef70e084bd344ec72380e3d83",0,1,2,0.409503994343964,0.03,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales",NA,NA,NA,"0.9992061"
"c8029386b548f1463d7c58a047015a5a",0,1,2,0.521690913477223,0.015,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__UBA1819",NA,"0.9827796"
"1d1ef4cfd93e4312369311b3053b9acd",0,1,2,0.875810820736819,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__UCG-010","g__UCG-010",NA,"0.9152181"
"0f7db83ed54fd1ba6ee48559fc9c4b59",0,1,2,0.44022860069617,0.015,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Muribaculaceae","s__uncultured_bacterium","0.8109293"
"344d6e4fbf060f9fdb10ebae1bb92117",0,1,2,0.387298334620742,0.01,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Muribaculaceae","s__uncultured_bacterium","0.8443923"
"9a76c2c2904fcae623e236b6818a712e",0,1,2,0.490738562650421,0.01,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides",NA,"0.9999996"
"1dde417c45171347b0ec07088aa49839",0,1,2,0.387298334620742,0.025,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Muribaculaceae","s__uncultured_bacterium","0.8575606"
"0c611fe4f140cb790295b28c865a5ee9",0,1,2,0.535918591522379,0.035,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales",NA,NA,NA,"0.9987729"
"8d16493f61b4859028a7a760a82751ce",0,1,2,0.437481147865575,0.01,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales",NA,NA,NA,"0.9974434"
"ed83068f2c970995b6c20df698b43619",0,1,2,0.435474670400753,0.01,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae",NA,NA,"0.8843161"
"a9e966d215e2fb2c195c23fc93ca070c",0,1,2,0.576346014972671,0.025,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__Family_XIII_AD3011_group","s__gut_metagenome","0.9584534"
"04cd34727561304d7a221d1e3fef9b5d",0,1,2,0.632989250840116,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae",NA,NA,"0.9999020"
"e335f74033bc634af43ee6baa84fa247",0,1,2,0.869893861443417,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptostreptococcaceae",NA,NA,"0.9999167"
"86410a90ea331247437f1374ec78adad",0,1,2,0.622881927917758,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptostreptococcaceae",NA,NA,"0.9997167"
"a751c8d16881dfbf70ea3a4918c8daf9",0,1,2,0.447213595499958,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptostreptococcaceae",NA,NA,"0.9996151"
"fa2813742360daf1e1476746b852f21e",0,1,2,0.584260171867047,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptostreptococcaceae",NA,NA,"0.9995560"
"b0393e75df8338f8224463cb1b34efbd",0,1,2,0.770771237378098,0.005,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__uncultured","s__unidentified","0.9998493"
"45b76e49b6500d8d245c2f27f6fbb143",0,1,2,0.918968172036163,0.005,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__Erysipelatoclostridium",NA,"0.9999978"
"88227274f1a1991a39c20a4ddd7f6336",0,1,2,0.531071914356173,0.025,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__Erysipelatoclostridium","s__Massiliomicrobiota_timonensis","0.9496497"
"85781f76fdd51f1cea0eab36c8b76a12",0,1,2,0.570489992990834,0.01,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae",NA,NA,"0.9623046"
"48830e79ed7c7516290eba5ecea3ceb2",0,1,2,0.602251790542052,0.02,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Dubosiella","s__Dubosiella_newyorkensis","0.9999999"
"e153bdd2bce7dbad06c449fa332265da",0,1,2,0.678940255079715,0.005,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Dubosiella","s__Dubosiella_newyorkensis","0.9999696"
"d592e6c1a80b7580a81c21fc963da581",0,1,2,0.5,0.005,"d__Bacteria","p__Firmicutes","c__Bacilli","o__RF39","f__RF39","g__RF39","s__human_gut","0.9887024"
"3607599c1aab4789914bb85aa5387ec7",1,0,1,0.534102885380578,0.04,"d__Bacteria","p__Firmicutes","c__Bacilli","o__RF39","f__RF39","g__RF39",NA,"0.9999365"
"6459d91eda8e9bf37040e2ff3cc3cdf1",0,1,2,0.447213595499958,0.01,"d__Bacteria","p__Firmicutes","c__Bacilli","o__RF39","f__RF39","g__RF39",NA,"0.9998326"
"9520bccf1741d8490cd863a3a10aba02",0,1,2,0.5,0.005,"d__Bacteria","p__Firmicutes","c__Bacilli","o__RF39","f__RF39","g__RF39",NA,"0.9998323"
"4b26d7b4aa75264dfeb476c32f3d7415",0,1,2,0.387298334620742,0.015,"d__Bacteria","p__Firmicutes","c__Bacilli","o__RF39","f__RF39","g__RF39",NA,"0.9998717"
"0d4c623e5ce4c7f924dccb8a6b5a8e50",0,1,2,0.442183293730207,0.005,"d__Bacteria","p__Firmicutes","c__Bacilli","o__RF39","f__RF39","g__RF39",NA,"0.9999122"
"7232246377f4388bc6b754e3dadf0926",0,1,2,0.387298334620742,0.02,"d__Bacteria","p__Firmicutes","c__Bacilli","o__RF39","f__RF39","g__RF39",NA,"0.9995262"
"5127cd2350d37452e6211eb6babe64fa",0,1,2,0.707106781186548,0.005,"d__Bacteria","p__Firmicutes","c__Bacilli","o__RF39","f__RF39","g__RF39","s__uncultured_Erysipelotrichia","0.7971513"
"49b5bf662e50d96d16a494ffce64d25a",0,1,2,0.4726601836348,0.01,"d__Bacteria","p__Firmicutes","c__Bacilli","o__RF39","f__RF39","g__RF39","s__Firmicutes_bacterium","0.7338647"
"d255274bb9545cbe82f94e4e17b59f9b",0,1,2,0.591607978309962,0.005,"d__Bacteria","p__Firmicutes","c__Bacilli","o__RF39","f__RF39","g__RF39",NA,"0.9999965"
"b4a5059ea0192802121e1e8295e61845",0,1,2,0.365912200920427,0.04,"d__Bacteria","p__Firmicutes","c__Bacilli","o__RF39","f__RF39","g__RF39",NA,"0.9992348"
"46a559475389567c1a9a2af7a3bca5f0",0,1,2,0.387298334620742,0.02,"d__Bacteria","p__Firmicutes","c__Bacilli","o__RF39","f__RF39","g__RF39","s__Firmicutes_bacterium","0.9520405"
"3a7da564e6fafad475685e983a9435e8",0,1,2,0.405238678712283,0.04,"d__Bacteria","p__Firmicutes","c__Bacilli","o__RF39","f__RF39","g__RF39","s__Firmicutes_bacterium","0.9833137"
"e6241ffe2fa3e3a874f232d6aafd0177",0,1,2,0.826805594592377,0.005,"d__Bacteria","p__Firmicutes","c__Bacilli","o__RF39","f__RF39","g__RF39","s__unidentified","0.7736386"
"dd77e09cb5e04bc476e091094cfd014c",0,1,2,0.547722557505166,0.005,"d__Bacteria","p__Firmicutes","c__Bacilli","o__RF39","f__RF39","g__RF39",NA,"0.9836541"
"431b7a050a85f69cfcb3d5bb614a02e9",0,1,2,0.672492091163004,0.005,"d__Bacteria","p__Firmicutes","c__Bacilli","o__RF39","f__RF39","g__RF39","s__unidentified","0.9995276"
"a724c8f01abadc1581d8aa3227b27de1",0,1,2,0.53723109918953,0.05,"d__Bacteria","p__Firmicutes","c__Bacilli","o__RF39","f__RF39","g__RF39",NA,"0.8073729"
"bb78f09200442c43a7a4a8fafd44f150",0,1,2,0.316227766016838,0.03,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__[Eubacterium]_coprostanoligenes_group","g__[Eubacterium]_coprostanoligenes_group",NA,"0.9216521"
"003a296ba4c55f34d62c224bda66f5a9",1,0,1,0.900887072967254,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__uncultured","s__Clostridiales_bacterium","0.9209107"
"f9f60c2b7142924f5bf6369037234212",1,0,1,0.53926754386852,0.05,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__uncultured","s__Clostridiales_bacterium","0.9523760"
"46106f5c1a2dda999551e9675cd3568d",0,1,2,0.447213595499958,0.01,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__uncultured",NA,"0.9540823"
"cbc6ec0ad878294861f06ed9fff333c0",0,1,2,0.604950289905608,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__uncultured",NA,"0.9661842"
